time,device_id,attribute,boolean,int32,int64,float,double,text,string,blob,timestamp,date
1,null,1,true,0,0,0.0,0.0,1234567890,1234567890,iotdb1,0,1970-01-01
2,1,null,false,-2147483648,-9223372036854775808,-0.12345678,-0.12345678901234567,abcdefghijklmnopqrstuvwsyz,abcdefghijklmnopqrstuvwsyz,iotdb2,-9223372036854775808,1000-01-01
3,#$%！@#,#$%,null,2147483647,9223372036854775807,0.123456789,0.12345678901234567,!@#$%&()=`,!@#$%&()=`,iotdb3,9223372036854775807,9999-12-31
4,1,1,true,1,1,1.1234567,1.1234567890123456,没问题,没问题,iotdb4,1,2024-07-25
5,1,1,true,1,1,4.123456,4.123456789012345,！（）￥,！（）￥,iotdb5,1,2024-07-25
10,1,1,1,1,1,1.0,1.0,123abc!()$没问题！（）￥,123abc!()$没问题！（）￥,iotdb6,1,2024-07-25
9,stringnull,1,true,1,1,1.0,null,,123abc!()$没问题！（）￥,iotdb6,1,2024-07-25
8,1,1,1,1,1,1.0,1.0,null,123abc!()$没问题！（）￥,iotdb6,1,2024-07-25
7,1,1,1,1,1,1.0,1.0,123abc!()$没问题！（）￥,null,iotdb6,1,2024-07-25
6,1,1,true,0,0,0.0,0.0,1234567890,1234567890,null,0,1970-01-01
