time,device_id,attribute,boolean,int32,int64,float,double,text,string,blob,timestamp,date
1,null,1,true,10,10,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
2,1,null,true,10,10,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
3,2,1,null,10,10,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
4,3,1,true,null,10,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
5,4,1,true,10,null,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
10,5,1,true,10,10,null,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
9,6,1,true,10,10,10.01,null,1234567890,1234567890,iotdb1,10,1970-01-01
8,7,1,true,10,10,10.01,10.01,null,1234567890,iotdb1,10,1970-01-01
7,8,1,true,10,10,10.01,10.01,1234567890,null,iotdb1,10,1970-01-01
6,9,1,true,10,10,10.01,10.01,1234567890,1234567890,null,10,1970-01-01
11,10,1,true,10,10,10.01,10.01,1234567890,1234567890,null,10,1970-01-01
12,11,1,true,10,10,10.01,10.01,1234567890,1234567890,iotdb1,null,1970-01-01
13,12,1,true,10,10,10.01,10.01,1234567890,1234567890,iotdb1,10,null
14,null,null,null,null,null,null,null,null,null,null,null,null
15,13,1,null,null,null,null,null,null,null,null,null,null
16,null,null,true,10,10,10.01,10.01,1234567890,1234567890,iotdb1,10,1970-01-01
17,14,null,null,null,null,null,null,null,null,null,null,null
18,null,2,null,null,null,null,null,null,null,null,null,null
